Company,Disc,Speed,Glide,Turn,Fade,Max Weight,Diameter,Height,Rim Depth,Inside Diameter,Rim Thickness,Rim Depth/Diameter Ratio,Rim Config,Flexibility
Innova,Skeeter,5,5,-1,1,176,21.2,1.9,1.3,18.7,1.3,6.1,43.25,9.07
Innova,Sonic,1,2,-4,0,179.3,21.6,2.3,1.6,20.4,0.6,7.4,82,3.97
Innova,Spider,5,3,0,1,176,21.2,1.7,1.4,18.6,1.3,6.6,45,7.82
Innova,Starfire,10,4,0,3,176,21.2,1.4,1.1,17.2,2,5.2,29,7.71
Innova,Stingray,4,5,-3,1,180.1,21.7,1.8,1.1,19.3,1.2,5.1,38.25,9.1
Innova,Stud,3,3,0,2,176,21.2,1.9,1.3,18.9,1.1,6.1,69.5,11.11
Innova,Tee-Rex,11,4,0,4,175.1,21.1,1.7,1.2,16.8,2.2,5.7,30,10.21
Innova,TeeBird,7,5,0,2,176,21.2,1.5,1.1,17.8,1.7,5.2,29.25,7.83
Innova,Teebird 3,8,4,0,2,176,21.2,1.7,1.1,17.5,1.8,5.2,29.25,9.41
Innova,TeeBird L (TL),7,5,0,1,175.1,21.1,1.6,1.2,17.5,1.8,5.7,33,12.25
Innova,TeeDevil,12,5,-1,2,176,21.2,1.6,1.2,16.4,2.4,5.7,28.5,11.79
Innova,Tern,12,6,-3,2,175.1,21.1,1.7,1.1,16.6,2.3,5.2,28.5,11.91
Innova,Thunderbird,9,5,0,2,176,21.2,1.6,1.1,17.3,1.9,5.2,31,6.46
Innova,TL 3,8,4,0,1,176,21.2,1.7,1.1,17.6,1.8,5.2,33,7.48
Innova,Valkyrie,9,4,-2,2,175.1,21.1,1.4,1.2,17.3,1.9,5.7,26,8.05
Innova,Viking,9,4,-1,2,176,21.2,1.4,1.1,17.4,1.9,5.2,30.75,7.48
Innova,Viper,6,4,1,5,180.1,21.7,2,1.3,18.5,1.6,6,29.25,8.51
Innova,VRoc,4,4,0,1,180.9,21.8,2,1.3,19,1.4,6,43,9.3
Innova,Vulcan,13,5,-4,2,176,21.2,1.4,1.1,16.4,2.4,5.2,27.25,11
Innova,Wahoo,12,6,-2,2,174.3,21,2,1.2,16.1,2.4,5.7,33.25,10.21
Innova,Wedge,3.5,3,-3,1,176,21.2,1.7,1.2,19.2,1,5.7,47.25,4.99
Innova,Whale,2,3,0,1,175.1,21.1,2,1.5,19,1,7.1,75.25,8.5
Innova,Whippet,6,3,1,5,176,21.2,1.9,1.3,17.8,1.7,6.1,26,12.25
Innova,Wolf,4,3,-4,1,180.9,21.8,1.6,1.1,19.4,1.2,5,30.25,6.35
Innova,Wombat,5,6,-1,0,180.9,21.8,2.2,1.4,18.9,1.4,6.4,36.25,4.54
Innova,Wombat3,5,6,-1,0,180.9,21.8,2,1.4,18.9,1.4,6.4,30,7.26
Innova,Wraith,11,5,-1,3,175.1,21.1,1.4,1.2,16.9,2.1,5.7,26.75,8.85
Innova,XCaliber,12,5,0,4,175.1,21.1,1.6,1.2,16.4,2.3,5.7,29.5,8.85
Kastaplast AB,Berg,1,2,0,2,175.1,21.1,2,1.4,19.3,0.9,6.6,87,4.31
Kastaplast AB,Falk,9,6,-2.5,2,175.1,21.1,1.8,1.1,17.2,1.9,5.2,30.25,9.53
Kastaplast AB,Grym,13,5,-2,2,175.1,21.1,1.8,1.1,16.7,2.2,5.2,26.25,9.85
Kastaplast AB,Grym X,13,5,-1,2,176,21.2,1.6,1.1,16.9,2.2,5.2,26,10.21
Kastaplast AB,Kaxe,6,4,0,3,174.3,21,1.9,1.3,18,1.5,6.2,34,9.3
Kastaplast AB,Kaxe Z,6,5,0,2,175.1,21.1,1.9,1.3,18,1.5,6.2,34,8.5
Kastaplast AB,Rask,14,3,0,4,176,21.2,1.6,1.1,16.8,2.2,5.2,26.5,9.75
Kastaplast AB,Rask,14,3,0,4,175.1,21.1,1.6,1.1,16.7,2.2,5.2,26.5,7.71
Kastaplast AB,Reko,3,3,0,1,176,21.2,1.8,1.4,19.1,1,6.6,61.25,10.43
Kastaplast AB,Stål,9,4,0,3,175.1,21.1,1.8,1.1,17.3,1.9,5.2,30.5,11
Las Aves Disc Golf,Ka-kaa,12,5,-2,2,175.1,21.1,1.6,1.1,16.7,2.2,5.2,26.25,9.41
Las Aves Disc Golf,Wo-Hoo,6,5,0,2,175.1,21.1,1.8,1.3,18,1.5,6.2,37.25,11.11
Latitude 64,Anchor,5,4,0,3,180.1,21.7,1.8,1.5,18.9,1.4,6.9,43.25,10.32
Latitude 64,Ballista,14,5,-1,3,175.1,21.1,1.7,1.1,16.3,2.4,5.2,26,8.05
Latitude 64,Ballista Pro,14,4,0,3,176,21.2,1.7,1.1,16.3,2.4,5.2,26.75,11.79
Latitude 64,Blitz,11,3,0,4,176,21.2,1.6,1.2,16.8,2.2,5.7,30.5,9.19
Latitude 64,Bolt,13,6,-2,3,175.1,21.1,1.7,1.1,16.4,2.4,5.2,27.75,10.09
Latitude 64,Bryce,9,6,-2,2,176,21.2,1.7,1.1,17.2,2,5.2,28.25,10.66
Latitude 64,Caltrop,2,2,0,2,174.3,21,1.9,1.5,19.1,1,7.1,64,10.66
Latitude 64,Claymore,5,5,-1,1,180.1,21.7,1.9,1.2,18.9,1.4,5.5,42.5,8.39
Latitude 64,Compass,5,5,0,1,179.3,21.6,2.3,1.3,19,1.3,6,42.75,10.77
Latitude 64,Core,6,5,-0.5,1,180.1,21.7,2,1.2,18.9,1.4,5.5,48,8.5
Latitude 64,Culverin,9,5,-0.5,3,176,21.2,2,1.1,17,2,5.2,31.25,11.91
Latitude 64,Cutlass,13,5,0,3.5,175.1,21.1,1.7,1.2,16.6,2.2,5.7,28.75,10.43
Latitude 64,Dagger,2,5,0,1,175.1,21.1,2.1,1.5,19.1,1,7.1,75.25,4.65
Latitude 64,Diamond,8,6,-3,1,175.1,21.1,1.4,1.1,17.4,1.8,5.2,30,6.92
Latitude 64,Explorer,7,5,0,2,176,21.2,1.7,1.1,17.7,1.8,5.2,32.75,10.21
Latitude 64,Falchion,8,5,-1,2,175.1,21.1,1.6,1.1,17.3,1.9,5.2,34.5,11
Latitude 64,Flow,11,6,-0.5,2,175.1,21.1,1.8,1.2,16.8,2.2,5.7,27.75,11.11
Latitude 64,Fuji,4,4,0,2,180.1,21.7,1.8,1.2,18.9,1.3,5.5,42.75,8.96
Latitude 64,Fury,9,6,-2,2,176,21.2,1.8,1.1,17.4,1.9,5.2,36.75,9.98
Latitude 64,Gauntlet,2,4,0,1,176,21.2,2.1,1.5,19,1.1,7.1,61.75,7.94
Latitude 64,Gladiator,13,5,0,3.5,175.1,21.1,1.7,1.1,16.5,2.3,5.2,28.5,12.02
Latitude 64,Gobi,6,5,-0.5,1,180.1,21.7,1.8,1.3,18.8,1.4,6,37.5,10.43
Latitude 64,Halo,13,5,-0.5,3,176,21.2,1.4,1.1,16.3,2.4,5.2,26.25,11.11
Latitude 64,Havoc,13,5,-1,3,175.1,21.1,1.7,1.1,16.6,2.3,5.2,28,12.02
Latitude 64,Jade,9,6,-2,1,174.3,21,1.8,1.1,17.3,1.9,5.2,30,8.85
Latitude 64,Knight,14,4,-1.5,3,175.1,21.1,1.6,1.1,16.2,2.5,5.2,28.25,10.89
Latitude 64,Macana,2,5,0,1,175.1,21.1,2.1,1.4,18.9,1.1,6.6,74,8.73
Latitude 64,Mace,5,5,0,2,180.9,21.8,2.1,1.3,19.2,1.3,6,38.75,8.39
Latitude 64,Maul,7,7,-2,1,177.6,21.4,2,1.1,17.7,1.8,5.1,33,7.48
Latitude 64,Medius,5,5,-1,2,178.5,21.5,2.4,1.2,18.8,1.4,5.6,42.5,9.64
Latitude 64,Mercy,2,4,0,1,176,21.2,2.1,1.5,19.1,1.1,7.1,61.5,7.94
Latitude 64,Missilen,15,3,-0.5,4.5,177.6,21.4,1.7,1.1,16.4,2.5,5.1,28,9.07
Latitude 64,Musket,10,5,-1,3,176,21.2,1.8,1.1,17.1,2,5.2,28.5,10.55
Latitude 64,Pain,4,4,0,4,180.1,21.7,2,1.4,18.9,1.4,6.5,40.75,9.98
Latitude 64,Pearl,4,6,-4,0,179.3,21.6,1.8,1.2,19.2,1.2,5.6,49.25,4.2
Latitude 64,Pioneer,9,3,0,4,176,21.2,1.5,1.2,17.3,1.9,5.7,27,11.57
Latitude 64,Primitus,9,5,0,2,174.3,21,2.3,1.2,17,2,5.7,27,11.57
Latitude 64,Pure,3,3,-1,1,176,21.2,1.8,1.4,19.2,1,6.6,48.25,6.69
Latitude 64,Raketen,15,4,-2,3,175.1,21.1,1.7,1.1,16.3,2.4,5.2,26.5,10.21
Latitude 64,Recoil,12,4,0,3,176,21.2,1.8,1.2,16.8,2.2,5.7,26,11.22
Latitude 64,Riot,11,4,-1,2,176,21.2,1.9,1.2,16.8,2.2,5.7,30,8.73
Latitude 64,River,7,7,-1,1,178.5,21.5,1.9,1.2,17.8,1.8,5.6,30.5,9.07
Latitude 64,River Pro,6,5,0,2,177.6,21.4,1.8,1.3,17.8,1.8,6.1,34,10.87
Latitude 64,Ruby,3,5,-3,1,178.5,21.5,1.9,1.4,19.5,1,6.5,69,3.86
Latitude 64,Saint,9,7,-1,2,176,21.2,1.9,1.2,17.4,1.9,5.7,29.25,8.85
Latitude 64,Saint Pro,8,5,-0.5,2,176,21.2,2,1.2,17.5,1.8,5.7,33,8.16
Latitude 64,Sarek,2,4,0,1.5,176,21.2,2.2,1.5,19,1.1,7.1,61,8.39
Latitude 64,Scythe,12,3,0,4,175.1,21.1,1.5,1.1,16.6,2.2,5.2,29,10.66
Latitude 64,Spark,7,4,-0.5,3,176,21.2,1.5,1.1,17.4,1.9,5.2,34,9.3
Latitude 64,Spike,4,3,-1,1,176,21.2,1.8,1.3,19.2,1,6.1,56.25,4.65
Latitude 64,Stiletto,13,3,0.5,5,176.8,21.3,1.7,1.1,16.4,2.4,5.2,26.75,9.98
Latitude 64,Striker,8,5,0,2,177.6,21.4,1.6,1.2,17.6,1.9,5.6,29,11.68
Latitude 64,Trident,6,4,-0.5,3,177.6,21.4,1.4,1.1,17.6,1.9,5.1,36.75,11.11
Latitude 64,Villain,12,4,0,4,175.1,21.1,1.7,1.2,16.8,2.1,5.7,28,10.41
Latitude 64,Vision,8,6,-2,2,175.1,21.1,1.9,1.1,17.4,1.8,5.2,33,12.25
Latitude 64,XXX,7,3,0,4,178.5,21.5,1.5,1.1,17.5,2,5.1,32.5,12.02
Latitude 64,Zion,9,4,-0.5,3,176,21.2,1.7,1.1,17.2,2,5.2,28,9.75
Legacy Discs,Aftermath,13,4,-2,3,176,21.2,1.7,1.1,16.3,2.5,5.2,29,9.19
Legacy Discs,Bandit,9,5,-2,1,176.8,21.3,1.5,1.1,17.3,2,5.2,30.75,7.6
Legacy Discs,Cannon,14,5,-2.5,3,175.1,21.1,1.8,1.2,16.1,2.5,5.7,26,10.43
Legacy Discs,Clozer,2,3,0,2,176,21.2,2.1,1.4,19.4,0.9,6.6,58.25,8.73
Legacy Discs,Clutch,2,3,0,1,176,21.2,2,1.4,19.4,0.9,6.6,49.5,6.92
Legacy Discs,Enemy,9,3,0,4,175.1,21.1,1.9,1.2,17.2,1.9,5.7,32.5,9.19
Legacy Discs,Fighter,10,3,0,4,176,21.2,1.7,1.2,17.1,2,5.7,27.75,11.34
Legacy Discs,Gauge,5,5,0,1,180.9,21.8,2.2,1.4,19.4,1.2,6.4,48.25,7.03
Legacy Discs,Ghost,4,5,0,3,180.1,21.7,2,1.3,19.3,1.2,6,42.75,5.44
Legacy Discs,Hunter,3,4,0,0,176,21.2,1.4,1.4,19.4,0.9,6.6,54.75,5.9
Legacy Discs,Mongoose,9,5,-3,1,176.8,21.3,1.5,1.1,17.3,2,5.2,30.5,7.82
Legacy Discs,Nemesis,10,6,-4,2,176.8,21.3,1.5,1.1,17.3,2,5.2,29,7.82
Legacy Discs,Outlaw,12,5,-1,3,174.3,21,1.6,1.1,16.4,2.3,5.2,29,12.13
Legacy Discs,Outlaw ,12,5,-1,3,175.1,21.1,1.6,1.1,16.4,2.3,5.2,29,10.43
Legacy Discs,Patriot,7,5,-2,1,176,21.2,1.8,1.1,17.6,1.8,5.2,28.25,12.02
Legacy Discs,Phenom,8,5,-1,2,176,21.2,1.7,1.2,17.7,1.8,5.7,33.25,8.16
Legacy Discs,Prowler,2,3,0,1.5,176,21.2,2.2,1.4,19.4,0.9,6.6,61.5,6.01
Legacy Discs,Pursuit,5,3,0,3,176.8,21.3,1.6,1.3,18.3,1.5,6.1,44,9.19
Legacy Discs,Rampage,14,5,-1,4,175.1,21.1,1.8,1.2,16.1,2.5,5.7,26,10.55
Legacy Discs,Recluse,4,3,0,4,176.8,21.3,1.6,1.3,18.3,1.5,6.1,44,9.07
Legacy Discs,Recon,13,5,-1,3,176,21.2,1.7,1.1,16.4,2.4,5.2,28.75,8.05
Legacy Discs,Rival,7,5,0,2,176.8,21.3,2,1.2,17.8,1.8,5.6,29.25,11.11
Lightning Discs,#1 Flyer,8,5,-2,2,177.6,21.4,1.5,1.1,18.2,1.6,5.1,27.75,9.75
Lightning Discs,#1 Helix,8,4,-1,3,178.5,21.5,1.6,1.3,18.3,1.6,6,31.25,10.87
Lightning Discs,#1 Hyzer,7,3,0,4,180.1,21.7,1.8,1.3,18.1,1.8,6,29.25,10.66
Lightning Discs,#1 Roller,7,3,-2,1,180.1,21.7,1.7,1.1,18.1,1.8,5.1,30.75,8.62
Lightning Discs,#2 Driver,8,5,-2,2,177.6,21.4,2,1.2,18.2,1.6,5.6,29,12.02
Lightning Discs,#2 Helix,8,5,-1,3,176,21.2,1.7,1.4,17.8,1.7,6.6,34,7.48
Lightning Discs,#2 Hookshot,5,5,-1,3,178.5,21.5,2.1,1.1,18.9,1.3,5.1,40,6.4
Lightning Discs,#2 Hyzer,5,5,1,4,175.1,21.1,2,1.2,17.9,1.6,5.7,29,11.57
Lightning Discs,#2 Putter,1,2,-2,1,180.9,21.8,2.6,1.6,19.8,1,7.3,53.75,4.2
Lightning Discs,#2 Slice,6,5,-3,1,179.3,21.6,2,1.1,19,1.3,5.1,27.25,6.69
Lightning Discs,#2 Upshot,2,3,-1,1,177.6,21.4,2,1.5,19.6,0.9,7,51.25,6.01
Lightning Discs,#4 Driver,7,4,-1,2,176,21.2,1.7,1.1,17.9,1.7,5.2,26.75,8.05
Millennium Golf Discs,Aquarius,10,5,-4,2,174.3,21,1.9,1.2,17,2,5.7,30,10.66
Millennium Golf Discs,Aries,11,6,-3,1,175.1,21.1,1.6,1.1,16.9,2.1,5.2,28,10.89
Millennium Golf Discs,Astra,11,5,-2,2,175.1,21.1,1.5,1.2,16.7,2.2,5.7,28.25,8.28
Millennium Golf Discs,Aurora MF,4,5,-1,1,180.1,21.7,2.1,1.4,19.4,1.2,6.5,38.75,8.16
Millennium Golf Discs,EXP,7,3,0,4,175.1,21.1,1.6,1.2,17.5,1.8,5.7,28.25,9.87
Millennium Golf Discs,JLS,8,5,-2,2,174.3,21,1.5,1.1,17.8,1.6,5.2,30.75,8.73
Millennium Golf Discs,Marksman,9,4,-1,2,175.1,21.1,1.6,1.2,17.2,1.9,5.7,29,11.23
Millennium Golf Discs,Moab,6,4,1,5,175.1,21.1,1.7,1.2,18.4,1.8,5.7,38.25,7.94
Millennium Golf Discs,Mortar,5,4,0,3,176,21.2,1.9,1.4,18.4,1.4,6.6,56.75,5.78
Millennium Golf Discs,Omega,2,3,-1,1,175.1,21.1,2,1.5,19.3,0.9,7.1,55.75,1.36
Millennium Golf Discs,Omega SuperSoft Putter Big Bead,2,3,-1,1,176,21.2,2.1,1.5,19.4,0.9,7.1,55.75,3.52
Millennium Golf Discs,Orion LF,9,5,-1,3,175.1,21.1,1.5,1.2,17.4,1.9,5.7,27.25,10.32
Millennium Golf Discs,Orion LS,9,5,-2,2,175.1,21.1,1.4,1.2,17.3,1.9,5.7,32.25,12.02
Millennium Golf Discs,Polaris LF,9,5,-2,2.5,175.1,21.1,1.9,1.1,17.9,1.6,5.2,28.5,10.55
Millennium Golf Discs,Polaris LS,8,5,-2,1,175.1,21.1,1.9,1.1,17.9,1.6,5.2,35,10.66
Millennium Golf Discs,QJLS,8,5,-2,2,176,21.2,1.8,1.1,18,1.6,5.2,30.75,9.19
Millennium Golf Discs,Quasar,13,5,-1,4,176,21.2,1.6,1.2,16.2,2.5,5.7,27.25,12.13
Millennium Golf Discs,Scorpius,13,4,-1,3,175.1,21.1,1.7,1.2,16.3,2.4,5.7,26.25,9.41
Millennium Golf Discs,Sentinel MF,5,4,0,4,180.1,21.7,2.1,1.2,19.1,1.3,5.5,27.5,6.24
Millennium Golf Discs,Tank - Panzer,2,2,0,2,176,21.2,2.1,1.4,18.8,1.2,6.6,59.75,5.56
Millennium Golf Discs,Taurus,4,4,0,4,180.1,21.7,2,1.5,19,1.4,6.9,66.75,9.07
Millennium Golf Discs,Veteran,7,4,0,1,175.1,21.1,1.8,1.2,17.5,1.8,5.7,29,8.73
Mint Discs,Alpha,8,4,0,2,175.1,21.1,2.1,1.2,17.1,2,5.7,30.5,8.39
MVP Disc Sports,Amp,8,5,-1.5,1,174.3,21,1.7,1.1,17.2,1.9,5.2,26,11
MVP Disc Sports,Anode,3,3,0,0.5,174.3,21,2.1,1.4,18.9,1.1,6.7,54,6.8
MVP Disc Sports,Atom,3,3,0,1,175.1,21.1,1.9,1.4,18.8,1.1,6.6,60.75,7.82
MVP Disc Sports,Axis,5,5,-1,1,180.9,21.8,2.1,1.3,19.2,1.3,6,43.75,7.37
MVP Disc Sports,Catalyst,13,6,-2,2,175.1,21.1,1.9,1.2,16.3,2.4,5.7,30,11.11
MVP Disc Sports,Deflector,5,4,0,4,178.5,21.5,2,1.3,18.3,1.6,6,40,10.77
MVP Disc Sports,Dimension,14,5,0,3,174.3,21,1.8,1.2,16,2.5,5.7,27.75,11.68
MVP Disc Sports,Energy,13,4,0,4,175.1,21.1,2.1,1.2,16.3,2.4,5.7,26,11.91
MVP Disc Sports,Impulse,9,5,-3,1,174.3,21,1.4,1.2,17,2,5.7,28.75,10.89
MVP Disc Sports,Inertia,9,5,-2,2,175.1,21.1,1.4,1.2,17.1,2,5.7,27.25,11.91
MVP Disc Sports,Ion,3,3,0,1.5,174.3,21,1.9,1.6,18.8,1.1,7.6,62.5,2.83
MVP Disc Sports,Limit,14,4,0,4,175.1,21.1,1.8,1.2,16,2.5,5.7,27.25,11.91
MVP Disc Sports,Matrix,5,4,-1,2,178.5,21.5,1.6,1.4,18.7,1.4,6.5,46.5,9.75
MVP Disc Sports,Motion,9,4,0,4,174.3,21,1.4,1.2,17,2,5.7,30.25,12.02
MVP Disc Sports,Nitro,13,4,-0.5,3,176,21.2,1.9,1.2,16.3,2.4,5.7,26.75,11.57
MVP Disc Sports,Octane,13,5,-1,2,175.1,21.1,1.7,1.2,16.3,2.4,5.7,27.25,11.87
MVP Disc Sports,Orbital,11,5,-4.5,1,175.1,21.1,1.4,1.1,16.7,2.2,5.2,28.5,10.77
MVP Disc Sports,Particle,3,3,0,2.5,175.1,21.1,2,1.4,18.8,1.1,6.6,61.25,8.28
MVP Disc Sports,Phase,11,4,0,4,175.1,21.1,1.4,1.1,16.7,2.2,5.2,29.5,11.25
MVP Disc Sports,Photon,11,5,-1,2.5,175.1,21.1,1.4,1.1,16.6,2.2,5.2,26.75,11.57
MVP Disc Sports,Relativity,14,6,-3,1.5,175.1,21.1,1.9,1.2,16,2.5,5.7,27.25,11.77
MVP Disc Sports,Relay,6,5,-2,1,175.1,21.1,1.5,1.2,17.7,1.7,5.7,35.75,8.16
MVP Disc Sports,Resistor,7,4,0,3.5,175.1,21.1,1.5,1.2,17.5,1.7,5.7,31.75,10.21
MVP Disc Sports,Servo,7,5,-1,2,175.1,21.1,1.4,1.2,17.5,1.8,5.7,32,11.45
MVP Disc Sports,Shock,8,5,0,2.5,175.1,21.1,1.6,1.1,17.2,1.9,5.2,29.75,12.13
MVP Disc Sports,Signal,6,5,-3,1,175.1,21.1,1.5,1.2,17.7,1.2,5.7,35.5,11.11
MVP Disc Sports,Spin,3,4,-2,0,174.3,21,1.9,1.5,18.8,1.1,7.1,60.75,7.37
MVP Disc Sports,Switch,7,5,-1.5,1,175.1,21.1,1.4,1.2,17.5,1.8,5.7,31,10.66
MVP Disc Sports,Tangent,4,4,-0.5,0.5,178.5,21.5,2.1,1.3,19.1,1.2,6,54.5,7.94
MVP Disc Sports,Teleport,14,5,-1.5,2.5,175.1,21.1,1.9,1.2,16,2.5,5.7,27.75,11.11
MVP Disc Sports,Tensor,4,4,0,2.5,178.5,21.5,2,1.3,19.1,1.2,6,46.75,7.82
MVP Disc Sports,Tesla,9,5,-1,2,174.3,21,1.4,1.2,17,2,5.7,26.5,11.68
MVP Disc Sports,Vector,5,4,0,2,180.1,21.7,2.1,1.3,19.1,1.3,6,36.5,4.99
MVP Disc Sports,Vertex,4,4,-2,0.5,178.5,21.5,1.9,1.3,19,1.2,6,46.75,7.48
MVP Disc Sports,Volt,8,5,-0.5,2,175.1,21.1,1.6,1.1,17.1,2,5.2,28.25,10.09
MVP Disc Sports,Wave,11,5,-2,2,175.1,21.1,1.4,1.1,16.6,2.2,5.2,29.25,11
Obsidian Discs Oy,Caldera,12,5,-1,2,176,21.2,1.7,1.2,16.7,2.3,5.7,26,8.62
Obsidian Discs Oy,Cinder,7,5,0,2,176,21.2,2.2,1.3,17.5,1.9,6.1,30.25,9.64
Obsidian Discs Oy,Rift,11,5,0,3,176,21.2,1.5,1.2,17,2.1,5.7,29,10.32
Obsidian Discs Oy,Shard,7,5,-1.5,1,176,21.2,1.5,1.2,17.4,1.9,5.7,28,9.19
Obsidian Discs Oy,Splinter,3,2,0,3.5,176.8,21.3,2.4,1.5,19.2,1,7,71.25,7.82
Ozone Discs,Andro 1,6,4,-1,2,178.5,21.5,1.8,1.3,18.5,1.5,6,26,12.02
Ozone Discs,Andro C,6,4,0,2,177.6,21.4,1.5,1.3,18.4,1.5,6.1,31.25,7.26
Ozone Discs,Andro C ,6,4,-2,1,179.3,21.6,1.5,1.3,18.6,1.5,6,31.25,3.4
Ozone Discs,Hyperion,11,4,0,4,174.3,21,1.6,1.1,16.7,2.2,5.2,26,9.19
Prodigy Disc,A1,3,3,0,3,174.3,21,2,1.3,18.2,1.4,6.2,41.75,8.62
Prodigy Disc,A2,4,4,0,3,174.3,21,2,1.3,18.2,1.4,6.2,41.75,8.5
Prodigy Disc,A3,4,4,0,3,174.3,21,2,1.3,18.2,1.4,6.2,50.25,8.39
Prodigy Disc,A4,4,4,-1,2,174.3,21,2,1.3,18.2,1.4,6.2,61.75,9.64
Prodigy Disc,D1,13,5,0,3,174.3,21,1.9,1.2,16.3,2.3,5.7,26.75,11.57
Prodigy Disc,D2,12,6,-1,3,174.3,21,1.9,1.2,16.3,2.3,5.7,30.5,11.34
Prodigy Disc,D3,13,6,-2,2,174.3,21,1.7,1.2,16.3,2.3,5.7,30.25,12.02
Prodigy Disc,D4,12,6,-3,2,174.3,21,1.9,1.2,16.3,2.3,5.7,30,12.13
Prodigy Disc,D5,12,6,-3.5,2,175.1,21.1,1.6,1.2,16.3,2.4,5.7,29.75,5.67
Prodigy Disc,D6,12,6,-4,1,174.3,21,1.6,1.2,16.2,2.4,5.7,26.75,9.41
Prodigy Disc,F1,7,4,0,3,176.8,21.3,1.5,1.1,17.7,1.8,5.2,27.25,6.8
Prodigy Disc,F2,7,5,-1,3,176.8,21.3,1.5,1.1,17.7,1.8,5.2,32.75,6.69
Prodigy Disc,F3,7,5,-1,2,176.8,21.3,1.5,1.1,17.7,1.8,5.2,31.5,7.37
Prodigy Disc,F5,7,5,-2,1,176.8,21.3,1.9,1.2,17.7,1.8,5.6,35.75,8.5
Prodigy Disc,F7,7,5,-3,1,176.8,21.3,1.5,1.1,17.8,1.8,5.2,37,7.48
Prodigy Disc,H1,10,3,0,4,176.8,21.3,1.8,1.2,17.4,1.9,5.6,31.75,8.28
Prodigy Disc,H1,11,4,0,3,177.6,21.4,1.6,1.2,17.4,2,5.6,28,9.19
Prodigy Disc,H2,9,5,0,2,176.8,21.3,1.7,1.2,17.5,1.9,5.6,30.75,8.05
Prodigy Disc,H2 V2,11,5,0,2.5,177.6,21.4,1.6,1.2,17.4,2,5.6,28,8.39
Prodigy Disc,H3,9,4,0,2,176.8,21.3,1.7,1.2,17.3,2,5.6,34.5,9.3
Prodigy Disc,H3 V2,11,5,-1,2,176.8,21.3,1.8,1.2,17.3,2,5.6,30.75,9.19
Prodigy Disc,H4,9,5,-2,1.5,176.8,21.3,1.8,1.2,17.4,1.9,5.6,41.75,8.73
Prodigy Disc,H5,9,5,-3,1,176.8,21.3,1.7,1.2,17.4,2,5.6,37.5,9.3
Prodigy Disc,M1,5,4,0,3,180.1,21.7,2,1.3,18.9,1.4,6,39.25,8.39
Prodigy Disc,M2,5,4,0,2,180.1,21.7,2,1.3,18.9,1.4,6,41,8.28
Prodigy Disc,M3,5,5,-1,2,180.1,21.7,1.9,1.3,18.9,1.4,6,43.25,8.39
Prodigy Disc,M4,5,5,-1,1,180.1,21.7,2,1.3,18.9,1.4,6,52,8.85
Prodigy Disc,M5,5,5,-3,1,180.1,21.7,2.2,1.3,19,1.3,6,46.5,8.85
Prodigy Disc,PA1,3,3,0,2,174.3,21,1.9,1.4,19,1,6.7,57.5,6.01
Prodigy Disc,PA2,3,3,0,1,175.1,21.1,1.9,1.4,19.1,1,6.6,47.5,11.91
Prodigy Disc,PA3,3,4,0,1,174.3,21,2,1.4,18.9,1,6.7,66,9.41
Prodigy Disc,PA4,3,3,-1,1,174.3,21,1.9,1.4,19,1,6.7,69.25,6.46
Prodigy Disc,X1,13,3,0,4,174.3,21,1.5,1.2,16.3,2.3,5.7,27.5,11.79
Prodigy Disc,X2,13,4,0,4,175.1,21.1,1.8,1.1,16.6,2.2,5.2,26,8.16
Prodigy Disc,X3,12,5,-1,2,175.1,21.1,1.7,1.1,16.6,2.2,5.2,30.5,8.73
Prodigy Disc,X4,13,5,-2.5,2,176,21.2,1.7,1.1,16.6,2.3,5.2,27,9.3
Prodigy Disc,X5,13,5,-4,1,175.1,21.1,1.9,1.1,16.6,2.2,5.2,28.25,7.94
Prodiscus,FASTi,13,4,-2,2.5,175.1,21.1,1.6,1.1,17.1,2.3,5.2,26.75,10.66
Prodiscus,FLIPPERi,9,3,-3,0,176,21.2,1.7,1.2,17.2,2,5.7,26,10.77
Prodiscus,Jokeri,4,3,0,2,176,21.2,1.8,1.5,19,1.1,7.1,54,6.92
Prodiscus,Laseri,7,3,-3,2,175.1,21.1,1.6,1.1,17.2,1.9,5.2,32.25,6.24
Prodiscus,Legenda,13,5,-1,2,174.3,21,1.5,1.1,16.3,2.4,5.2,26.75,5.44
Prodiscus,Midari,5,4,-1,2,179.3,21.6,1.8,1.5,18.8,1.4,6.9,37.5,4.88
Prodiscus,Razeri,12,5,0,3,175.1,21.1,1.5,1.1,16.4,2.3,5.2,27.25,9.41
Prodiscus,Respecti,8,4,0,2,174.3,21,1.8,1.3,17.2,1.9,6.2,33.25,7.03
Prodiscus,Rocket,9,4,0,3,176,21.2,1.7,1.3,17.3,1.9,6.1,30,8.62
Prodiscus,Slaidi,12,5,0,3,175.1,21.1,2,1.2,16.8,2.2,5.7,30.5,7.71
Prodiscus,Sparta,3,3,0,0.5,176.8,21.3,2,1.6,19.2,1,7.5,59.75,5.78
Prodiscus,STARi,5,4,-2,1,179.3,21.6,1.9,1.4,18.9,1.3,6.5,45,7.03
Prodiscus,Titan,10,4,0,3,176,21.2,1.6,1.2,17.3,1.9,5.7,32.75,9.53
Reptilian Disc Golf,Gila,5,4,0,3,174.3,21,1.6,1.2,19.2,1.4,5.7,36.5,11.23
